iter	Passed	Remaining
0	1	151
1	3	153
2	4	141
3	5	127
4	6	124
5	7	119
6	8	116
7	9	113
8	10	110
9	11	107
10	12	103
11	14	104
12	15	101
13	16	98
14	16	96
15	17	94
16	18	92
17	19	90
18	20	89
19	22	88
20	23	86
21	23	85
22	25	84
23	26	83
24	27	82
25	28	80
26	29	79
27	30	77
28	31	76
29	32	74
30	33	73
31	34	73
32	35	71
33	36	70
34	37	68
35	38	67
36	38	66
37	40	65
38	40	64
39	41	62
40	42	61
41	43	59
42	44	58
43	44	57
44	45	56
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	75	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
