iter	Passed	Remaining
0	146	146037
1	148	73866
2	149	49748
3	151	37645
4	152	30412
5	155	25683
6	156	22210
7	158	19596
8	159	17562
9	160	15926
10	162	14597
11	163	13483
12	165	12545
13	167	11768
14	169	11103
15	170	10472
16	171	9911
17	172	9410
18	173	8958
19	174	8544
20	175	8168
21	175	7823
22	176	7508
23	177	7217
24	178	6951
25	178	6701
26	179	6469
27	180	6264
28	181	6074
29	182	5904
30	183	5736
31	184	5572
32	184	5419
33	185	5281
34	186	5144
35	187	5015
36	187	4892
37	188	4777
38	189	4668
39	190	4564
40	190	4465
41	191	4372
42	192	4281
43	193	4195
44	193	4112
45	194	4033
46	195	3966
47	196	3905
48	197	3836
49	198	3772
50	199	3708
51	199	3645
52	200	3584
53	201	3526
54	201	3469
55	202	3415
56	203	3363
57	203	3312
58	204	3264
59	205	3217
60	206	3171
61	206	3126
62	207	3084
63	208	3042
64	208	3001
65	209	2966
66	210	2934
67	211	2899
68	212	2864
69	213	2830
70	213	2796
71	214	2763
72	215	2731
73	215	2700
74	216	2668
75	217	2639
76	217	2609
77	218	2580
78	218	2552
79	219	2525
80	220	2499
81	220	2473
82	221	2444
83	221	2420
84	222	2396
85	223	2373
86	224	2353
87	225	2334
88	226	2313
89	226	2293
90	227	2272
91	228	2251
92	228	2231
93	229	2211
94	230	2192
95	230	2173
96	231	2154
97	232	2136
98	232	2118
99	233	2100
100	234	2083
101	234	2067
102	235	2050
103	236	2034
104	236	2018
105	237	2002
106	238	1987
107	239	1974
108	240	1965
109	241	1952
110	241	1937
111	242	1923
112	243	1909
113	243	1895
114	244	1882
115	245	1868
116	245	1854
117	246	1841
118	247	1829
119	247	1817
120	248	1804
121	248	1791
122	249	1780
123	250	1768
124	250	1756
125	251	1745
126	252	1733
127	252	1722
128	253	1714
129	255	1709
130	256	1699
131	257	1689
132	257	1679
133	258	1670
134	259	1659
135	259	1650
136	260	1640
137	261	1630
138	261	1621
139	262	1611
140	262	1602
141	263	1591
142	264	1582
143	264	1573
144	265	1564
145	266	1556
146	266	1547
147	267	1538
148	267	1530
149	269	1524
150	270	1518
151	271	1511
152	271	1504
153	272	1496
154	273	1489
155	273	1481
156	274	1474
157	275	1466
158	275	1459
159	276	1451
160	276	1443
161	277	1436
162	278	1429
163	279	1422
164	279	1415
165	280	1408
166	280	1401
167	281	1394
168	282	1387
169	283	1382
170	284	1379
171	285	1373
172	286	1367
173	286	1361
174	287	1355
175	288	1349
176	288	1342
177	289	1336
178	290	1330
179	290	1324
180	291	1318
181	292	1312
182	292	1306
183	293	1300
184	293	1294
185	294	1289
186	295	1283
187	295	1278
188	296	1272
189	297	1267
190	298	1262
191	299	1259
192	300	1254
193	300	1249
194	301	1245
195	302	1239
196	302	1234
197	303	1229
198	304	1224
199	304	1219
200	305	1214
201	306	1209
202	306	1204
203	307	1199
204	308	1194
205	308	1189
206	309	1185
207	310	1181
208	310	1176
209	311	1171
210	312	1167
211	312	1163
212	314	1161
213	315	1157
214	315	1153
215	316	1149
216	317	1144
217	317	1140
218	318	1135
219	319	1131
220	319	1127
221	320	1123
222	321	1118
223	321	1114
224	322	1110
225	323	1106
226	323	1102
227	324	1098
228	325	1094
229	325	1090
230	326	1086
231	327	1082
232	328	1080
233	329	1078
234	330	1076
235	331	1072
236	332	1070
237	333	1067
238	334	1063
239	334	1060
240	335	1056
241	336	1053
242	336	1049
243	337	1045
244	338	1042
245	338	1038
246	339	1035
247	340	1031
248	340	1028
249	341	1024
250	342	1021
251	343	1018
252	389	1150
253	390	1148
254	392	1146
255	394	1147
256	396	1145
257	397	1142
258	398	1139
